PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
040126_232537,040126_232537,N/A,Recipe41
040226_220955,040226_220955,N/A,Recipe48
040326_134131,040326_134131,N/A,Recipe35
040526_085046,040526_085046,N/A,Recipe2
040626_152638,040626_152638,N/A,Recipe72
040726_184539,040726_184539,N/A,Recipe14
040926_120619,040926_120619,N/A,Recipe70
041026_043129,041026_043129,N/A,Recipe17
041026_223922,041026_223922,N/A,Recipe92
041326_030901,041326_030901,N/A,Recipe61
041326_234544,041326_234544,N/A,Recipe72
041526_183014,041526_183014,N/A,Recipe48
041826_000731,041826_000731,N/A,Recipe72
041926_133836,041926_133836,N/A,Recipe63
042026_043119,042026_043119,N/A,Recipe31
042126_203035,042126_203035,N/A,Recipe68
042326_025529,042326_025529,N/A,Recipe5
042326_134443,042326_134443,N/A,Recipe18
042426_214033,042426_214033,N/A,Recipe66
042626_221009,042626_221009,N/A,Recipe84
