PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
010126_135707,010126_135707,N/A,Recipe31
010226_163657,010226_163657,N/A,Recipe2
010426_201632,010426_201632,N/A,Recipe25
010526_204555,010526_204555,N/A,Recipe29
010626_224554,010626_224554,N/A,Recipe43
010826_215243,010826_215243,N/A,Recipe54
011026_224445,011026_224445,N/A,Recipe18
011226_091512,011226_091512,N/A,Recipe74
011326_125331,011326_125331,N/A,Recipe41
011526_163613,011526_163613,N/A,Recipe71
011826_020537,011826_020537,N/A,Recipe84
011926_090709,011926_090709,N/A,Recipe90
012126_073838,012126_073838,N/A,Recipe81
012126_201403,012126_201403,N/A,Recipe6
012426_011548,012426_011548,N/A,Recipe42
012526_224443,012526_224443,N/A,Recipe52
012826_072118,012826_072118,N/A,Recipe25
012926_020311,012926_020311,N/A,Recipe79
013026_060513,013026_060513,N/A,Recipe42
013126_121753,013126_121753,N/A,Recipe9
