PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
030126_192330,030126_192330,N/A,Recipe80
030426_022234,030426_022234,N/A,Recipe57
030426_235432,030426_235432,N/A,Recipe78
030526_190925,030526_190925,N/A,Recipe65
030626_223635,030626_223635,N/A,Recipe91
030926_094224,030926_094224,N/A,Recipe31
031026_083914,031026_083914,N/A,Recipe29
031226_021320,031226_021320,N/A,Recipe12
031326_184757,031326_184757,N/A,Recipe65
031526_234917,031526_234917,N/A,Recipe62
031626_103112,031626_103112,N/A,Recipe43
031726_075636,031726_075636,N/A,Recipe14
031926_105243,031926_105243,N/A,Recipe62
032026_065106,032026_065106,N/A,Recipe95
032126_050330,032126_050330,N/A,Recipe67
032326_090927,032326_090927,N/A,Recipe50
032526_134535,032526_134535,N/A,Recipe33
032626_070927,032626_070927,N/A,Recipe61
032826_185931,032826_185931,N/A,Recipe55
032926_160104,032926_160104,N/A,Recipe7
