PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
070426_014703,070426_014703,N/A,Recipe99
070626_104525,070626_104525,N/A,Recipe64
070826_170644,070826_170644,N/A,Recipe94
071026_121225,071026_121225,N/A,Recipe68
071226_054614,071226_054614,N/A,Recipe22
071326_112605,071326_112605,N/A,Recipe49
071526_105200,071526_105200,N/A,Recipe10
071726_173039,071726_173039,N/A,Recipe58
071926_020541,071926_020541,N/A,Recipe29
071926_192020,071926_192020,N/A,Recipe9
072026_203022,072026_203022,N/A,Recipe37
072226_045845,072226_045845,N/A,Recipe51
072326_213125,072326_213125,N/A,Recipe18
072426_080239,072426_080239,N/A,Recipe58
072626_001032,072626_001032,N/A,Recipe31
072826_021754,072826_021754,N/A,Recipe88
072926_122714,072926_122714,N/A,Recipe75
073026_054557,073026_054557,N/A,Recipe13
073126_233908,073126_233908,N/A,Recipe43
070126_215541,070126_215541,N/A,Recipe12
