SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,MASS_TOTAL,ADD1_TOTAL,ADD2_TOTAL,ADD3_TOTAL,ADD4_TOTAL,ADD5_TOTAL,TOTAL_INCL_ADDITIVES,ADD1_PERCENT,ADD2_PERCENT,ADD3_PERCENT,ADD4_PERCENT,ADD5_PERCENT
SEG_060126_125750_01,060126_125750,N/A,2026-06-01T12:57:50,2026-06-01T23:59:59,28502,30.781,0.53867,0.71104,0.4494,0.20008,0.14159,32.82178,1.75,2.31,1.46,0.65,0.46
SEG_060126_125750_02,060126_125750,N/A,2026-06-02T00:00:00,2026-06-02T04:01:40,10700,12.062,0.22194,0.26657,0.16284,0.07599,0.05066,12.84,1.84,2.21,1.35,0.63,0.42
SEG_060226_165452_01,060226_165452,N/A,2026-06-02T16:54:52,2026-06-02T23:59:59,18744,21.457,0.46347,0.47849,0.35833,0.19311,0.03433,22.98473,2.16,2.23,1.67,0.9,0.16
SEG_060226_165452_02,060226_165452,N/A,2026-06-03T00:00:00,2026-06-03T23:59:59,73502,75.571,1.57943,1.76836,1.35272,0.83128,0.18137,81.28416,2.09,2.34,1.79,1.1,0.24
SEG_060226_165452_03,060226_165452,N/A,2026-06-04T00:00:00,2026-06-04T10:06:35,30943,32.717,0.69687,0.75903,0.566,0.36643,0.09161,35.19694,2.13,2.32,1.73,1.12,0.28
SEG_060426_231945_01,060426_231945,N/A,2026-06-04T23:19:45,2026-06-04T23:59:59,2142,2.138,0.04169,0.03057,0.0372,0.03143,0.01368,2.29257,1.95,1.43,1.74,1.47,0.64
SEG_060426_231945_02,060426_231945,N/A,2026-06-05T00:00:00,2026-06-05T05:41:39,17380,18.093,0.36186,0.24426,0.27501,0.22616,0.13208,19.33237,2.0,1.35,1.52,1.25,0.73
SEG_060526_074511_01,060526_074511,N/A,2026-06-05T07:45:11,2026-06-05T23:18:01,44146,36.622,0.78005,0.72878,0.74709,0.14283,0.20508,39.22583,2.13,1.99,2.04,0.39,0.56
SEG_060626_102800_01,060626_102800,N/A,2026-06-06T10:28:00,2026-06-06T23:59:59,36086,39.134,0.71224,0.85703,0.51657,0.30133,0.36786,41.88903,1.82,2.19,1.32,0.77,0.94
SEG_060626_102800_02,060626_102800,N/A,2026-06-07T00:00:00,2026-06-07T19:16:18,53035,57.076,1.01595,1.28992,0.65637,0.48515,0.49085,61.01424,1.78,2.26,1.15,0.85,0.86
SEG_060826_020425_01,060826_020425,N/A,2026-06-08T02:04:25,2026-06-08T10:07:17,23236,23.503,0.87901,0.28674,0.20448,0.26793,0.06581,25.20697,3.74,1.22,0.87,1.14,0.28
SEG_060826_143038_01,060826_143038,N/A,2026-06-08T14:30:38,2026-06-08T23:59:59,24837,24.804,0.28029,0.35718,0.40182,0.11906,0.16371,26.12606,1.13,1.44,1.62,0.48,0.66
SEG_060826_143038_02,060826_143038,N/A,2026-06-09T00:00:00,2026-06-09T16:10:00,43873,48.495,0.451,0.70318,0.78077,0.33946,0.35886,51.12827,0.93,1.45,1.61,0.7,0.74
SEG_061026_034324_01,061026_034324,N/A,2026-06-10T03:43:24,2026-06-10T23:59:59,58106,57.461,1.06877,0.80445,0.62058,0.5861,0.13216,60.67306,1.86,1.4,1.08,1.02,0.23
SEG_061026_034324_02,061026_034324,N/A,2026-06-11T00:00:00,2026-06-11T23:59:59,65111,65.347,1.30694,0.92793,0.78416,0.66,0.12416,69.15019,2.0,1.42,1.2,1.01,0.19
SEG_061026_034324_03,061026_034324,N/A,2026-06-12T00:00:00,2026-06-12T00:39:48,2020,2.149,0.0389,0.03438,0.02428,0.02149,0.00817,2.27622,1.81,1.6,1.13,1.0,0.38
SEG_061226_101736_01,061226_101736,N/A,2026-06-12T10:17:36,2026-06-12T23:59:59,38607,31.594,0.57817,0.37913,0.58449,0.24327,0.09162,33.47068,1.83,1.2,1.85,0.77,0.29
SEG_061226_101736_02,061226_101736,N/A,2026-06-13T00:00:00,2026-06-13T23:59:59,62259,55.908,0.88894,0.74358,1.0958,0.46963,0.10063,59.20658,1.59,1.33,1.96,0.84,0.18
SEG_061226_101736_03,061226_101736,N/A,2026-06-14T00:00:00,2026-06-14T05:24:20,14712,16.847,0.3083,0.19037,0.30156,0.14657,0.04886,17.84266,1.83,1.13,1.79,0.87,0.29
SEG_061426_073028_01,061426_073028,N/A,2026-06-14T07:30:28,2026-06-14T23:59:59,53001,51.386,0.84787,0.30318,1.0123,0.60635,0.16444,54.32014,1.65,0.59,1.97,1.18,0.32
SEG_061426_073028_02,061426_073028,N/A,2026-06-15T00:00:00,2026-06-15T23:59:59,69252,56.966,0.93994,0.3361,1.04248,0.69499,0.23926,60.21877,1.65,0.59,1.83,1.22,0.42
SEG_061426_073028_03,061426_073028,N/A,2026-06-16T00:00:00,2026-06-16T07:08:03,21970,24.646,0.40666,0.12569,0.49292,0.30561,0.10844,26.08532,1.65,0.51,2.0,1.24,0.44
SEG_061626_144348_01,061626_144348,N/A,2026-06-16T14:43:48,2026-06-16T23:59:59,26449,22.896,0.83112,0.5495,0.2427,0.2427,0.16485,24.92687,3.63,2.4,1.06,1.06,0.72
