PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
050126_140228,050126_140228,N/A,Recipe43
050326_170743,050326_170743,N/A,Recipe34
050526_050627,050526_050627,N/A,Recipe31
050726_041324,050726_041324,N/A,Recipe98
050826_175545,050826_175545,N/A,Recipe89
050926_160728,050926_160728,N/A,Recipe63
051026_141202,051026_141202,N/A,Recipe57
051126_063802,051126_063802,N/A,Recipe26
051226_003010,051226_003010,N/A,Recipe20
051326_185943,051326_185943,N/A,Recipe18
051426_152539,051426_152539,N/A,Recipe27
051626_124322,051626_124322,N/A,Recipe5
051726_102606,051726_102606,N/A,Recipe65
051826_150039,051826_150039,N/A,Recipe14
052026_155523,052026_155523,N/A,Recipe60
052226_001959,052226_001959,N/A,Recipe31
052226_203151,052226_203151,N/A,Recipe21
052326_110006,052326_110006,N/A,Recipe55
052426_193236,052426_193236,N/A,Recipe57
052626_130434,052626_130434,N/A,Recipe96
