SEGMENT_ID,PROD_ID,USR_ID,START_TIME,STOP_TIME,RUN_TIME,MASS_TOTAL,ADD1_TOTAL,ADD2_TOTAL,ADD3_TOTAL,ADD4_TOTAL,ADD5_TOTAL,TOTAL_INCL_ADDITIVES,ADD1_PERCENT,ADD2_PERCENT,ADD3_PERCENT,ADD4_PERCENT,ADD5_PERCENT
SEG_010326_225057_225057,010326_225057,N/A,2026-03-01T22:50:57,2026-03-01T23:59:59,4142,5.187,0.062,0.027,0.008,0.006,0.003,5.293,1.18,0.5,0.16,0.11,0.05
SEG_010326_225057_000000,010326_225057,N/A,2026-03-02T00:00:00,2026-03-02T02:49:27,10167,10.05,0.13,0.03,0.015,0.01,0.006,10.241,1.27,0.29,0.14,0.1,0.06
SEG_010326_225057_030604,010326_225057,N/A,2026-03-02T03:06:04,2026-03-02T05:18:52,7968,5.221,0.084,0.015,0.005,0.004,0.001,5.33,1.58,0.28,0.09,0.08,0.04
SEG_010326_225057_053052,010326_225057,N/A,2026-03-02T05:30:52,2026-03-02T08:54:33,12221,10.425,0.166,0.051,0.016,0.007,0.003,10.668,1.55,0.48,0.15,0.06,0.04
SEG_010326_225057_090505,010326_225057,N/A,2026-03-02T09:05:05,2026-03-02T13:12:34,14849,8.349,0.093,0.043,0.011,0.008,0.004,8.508,1.1,0.5,0.13,0.09,0.05
SEG_010326_225057_133222,010326_225057,N/A,2026-03-02T13:32:22,2026-03-02T17:34:41,14539,10.626,0.108,0.041,0.019,0.008,0.004,10.806,1,0.38,0.17,0.08,0.04
SEG_030326_224918_224918,030326_224918,N/A,2026-03-03T22:49:18,2026-03-03T23:59:59,4241,9.832,0.119,0.038,0.014,0.012,0.005,10.02,1.19,0.38,0.14,0.12,0.06
SEG_030326_224918_000000,030326_224918,N/A,2026-03-04T00:00:00,2026-03-04T00:52:35,3155,7.015,0.09,0.028,0.012,0.006,0.003,7.154,1.26,0.39,0.17,0.08,0.04
SEG_030326_224918_005235,030326_224918,N/A,2026-03-04T00:52:35,2026-03-04T02:39:14,6399,7.033,0.073,0.031,0.008,0.006,0.004,7.155,1.02,0.44,0.12,0.09,0.04
SEG_030326_224918_024740,030326_224918,N/A,2026-03-04T02:47:40,2026-03-04T06:21:24,12824,6.898,0.088,0.022,0.007,0.007,0.003,7.025,1.25,0.32,0.09,0.1,0.04
SEG_030326_224918_063527,030326_224918,N/A,2026-03-04T06:35:27,2026-03-04T08:43:44,7697,9.466,0.079,0.034,0.014,0.006,0.007,9.606,0.82,0.36,0.15,0.07,0.06
SEG_030326_224918_085807,030326_224918,N/A,2026-03-04T08:58:07,2026-03-04T10:47:54,6587,7.848,0.126,0.039,0.01,0.006,0.005,8.034,1.56,0.48,0.13,0.07,0.07
SEG_040326_101841_101841,040326_101841,N/A,2026-03-04T10:18:41,2026-03-04T11:49:46,5465,9.566,0.095,0.043,0.016,0.006,0.006,9.732,0.97,0.44,0.16,0.06,0.07
SEG_040326_101841_120903,040326_101841,N/A,2026-03-04T12:09:03,2026-03-04T14:03:43,6880,11.537,0.095,0.055,0.018,0.008,0.007,11.72,0.81,0.47,0.16,0.07,0.06
SEG_040326_101841_140343,040326_101841,N/A,2026-03-04T14:03:43,2026-03-04T16:29:25,8742,11.137,0.089,0.045,0.011,0.014,0.004,11.3,0.79,0.4,0.09,0.12,0.04
SEG_060326_173331_173331,060326_173331,N/A,2026-03-06T17:33:31,2026-03-06T20:57:52,12261,8.276,0.079,0.023,0.008,0.007,0.005,8.398,0.94,0.28,0.1,0.09,0.04
SEG_060326_173331_211526,060326_173331,N/A,2026-03-06T21:15:26,2026-03-06T23:54:09,9523,10.535,0.135,0.048,0.011,0.012,0.007,10.748,1.26,0.45,0.1,0.11,0.06
SEG_060326_173331_235409,060326_173331,N/A,2026-03-06T23:54:09,2026-03-06T23:59:59,350,7.295,0.083,0.02,0.013,0.007,0.004,7.422,1.12,0.27,0.17,0.09,0.07
SEG_060326_173331_000000,060326_173331,N/A,2026-03-07T00:00:00,2026-03-07T03:21:32,12092,5.048,0.057,0.019,0.006,0.004,0.002,5.136,1.1,0.37,0.11,0.08,0.05
SEG_070326_201641_201641,070326_201641,N/A,2026-03-07T20:16:41,2026-03-07T22:27:52,7871,5.435,0.048,0.018,0.007,0.005,0.004,5.517,0.88,0.33,0.12,0.09,0.06
SEG_070326_201641_223810,070326_201641,N/A,2026-03-07T22:38:10,2026-03-07T23:59:59,4909,9.471,0.152,0.033,0.01,0.012,0.005,9.683,1.57,0.34,0.1,0.12,0.05
SEG_070326_201641_000000,070326_201641,N/A,2026-03-08T00:00:00,2026-03-08T00:16:54,1014,8.185,0.135,0.029,0.012,0.01,0.005,8.376,1.61,0.35,0.15,0.12,0.06
SEG_070326_201641_001654,070326_201641,N/A,2026-03-08T00:16:54,2026-03-08T02:23:12,7578,10.333,0.143,0.043,0.016,0.01,0.005,10.55,1.35,0.41,0.16,0.09,0.05
SEG_070326_201641_023749,070326_201641,N/A,2026-03-08T02:37:49,2026-03-08T04:15:07,5838,5.432,0.069,0.021,0.008,0.004,0.002,5.536,1.24,0.38,0.14,0.07,0.04
SEG_090326_162807_162807,090326_162807,N/A,2026-03-09T16:28:07,2026-03-09T18:30:52,7365,10.018,0.122,0.05,0.013,0.006,0.003,10.212,1.19,0.49,0.12,0.06,0.04
SEG_090326_162807_184529,090326_162807,N/A,2026-03-09T18:45:29,2026-03-09T20:07:54,4945,8.912,0.122,0.03,0.008,0.007,0.003,9.082,1.34,0.33,0.09,0.07,0.03
SEG_090326_162807_201408,090326_162807,N/A,2026-03-09T20:14:08,2026-03-09T21:33:10,4742,7.966,0.111,0.032,0.007,0.009,0.006,8.131,1.37,0.39,0.09,0.12,0.07
SEG_090326_162807_214303,090326_162807,N/A,2026-03-09T21:43:03,2026-03-09T23:59:59,8216,6.26,0.057,0.027,0.01,0.008,0.002,6.364,0.89,0.42,0.15,0.12,0.05
SEG_090326_162807_000000,090326_162807,N/A,2026-03-10T00:00:00,2026-03-10T00:41:22,2482,11.239,0.133,0.056,0.014,0.007,0.007,11.456,1.16,0.49,0.12,0.06,0.07
SEG_090326_162807_004122,090326_162807,N/A,2026-03-10T00:41:22,2026-03-10T02:24:20,6178,9.575,0.104,0.029,0.013,0.009,0.006,9.736,1.07,0.29,0.13,0.09,0.06
SEG_100326_215300_215300,100326_215300,N/A,2026-03-10T21:53:00,2026-03-10T23:59:59,7619,8.241,0.116,0.03,0.01,0.006,0.005,8.408,1.38,0.36,0.12,0.07,0.05
SEG_100326_215300_000000,100326_215300,N/A,2026-03-11T00:00:00,2026-03-11T00:21:09,1269,6.086,0.058,0.03,0.01,0.004,0.003,6.191,0.94,0.48,0.15,0.06,0.06
SEG_100326_215300_002625,100326_215300,N/A,2026-03-11T00:26:25,2026-03-11T02:38:48,7943,6.443,0.057,0.017,0.009,0.007,0.001,6.534,0.86,0.26,0.14,0.1,0.03
SEG_100326_215300_025039,100326_215300,N/A,2026-03-11T02:50:39,2026-03-11T05:57:10,11191,6.64,0.065,0.032,0.006,0.006,0.003,6.752,0.96,0.48,0.09,0.09,0.04
