PROD_ID,PROD_NUM,PROD_DESC,RECIPE_NAME
010126_171443,010126_171443,N/A,Recipe1
020126_204356,020126_204356,N/A,Recipe2
040126_112857,040126_112857,N/A,Recipe3
060126_200559,060126_200559,N/A,Recipe4
070126_024355,070126_024355,N/A,Recipe5
090126_045922,090126_045922,N/A,Recipe6
100126_151657,100126_151657,N/A,Recipe7
120126_133947,120126_133947,N/A,Recipe1
130126_062521,130126_062521,N/A,Recipe2
150126_103920,150126_103920,N/A,Recipe3
170126_232656,170126_232656,N/A,Recipe4
180126_214513,180126_214513,N/A,Recipe5
190126_235808,190126_235808,N/A,Recipe6
210126_234512,210126_234512,N/A,Recipe7
230126_135246,230126_135246,N/A,Recipe1
240126_211213,240126_211213,N/A,Recipe2
260126_013947,260126_013947,N/A,Recipe3
280126_085209,280126_085209,N/A,Recipe4
290126_083602,290126_083602,N/A,Recipe5
310126_204255,310126_204255,N/A,Recipe6
